Track,Artist,Album,Date Added,Year,Bro
Lonely Boy,The Black Keys,El Camino,2020-11-27T11:44:44Z,2020,J
Feet Don't Fail Me,Queens of the Stone Age,Villains,2020-11-27T11:44:44Z,2020,J
Strobelite (feat. Peven Everett),Gorillaz Peven Everett,Humanz (Deluxe),2020-11-27T11:44:44Z,2020,J
Last Nite,The Strokes,Is This It,2020-11-27T11:44:44Z,2020,J
For Reasons Unknown,The Killers,Sam's Town,2020-11-27T11:44:44Z,2020,J
I Sat By The Ocean,Queens of the Stone Age,...Like Clockwork,2020-11-27T11:44:44Z,2020,J
We've Got It Goin' On - Radio Edit,Backstreet Boys,Backstreet Boys,2020-11-27T11:44:44Z,2020,J
You Only Live Once,The Strokes,First Impressions Of Earth,2020-11-27T11:44:44Z,2020,J
Ascension (feat. Vince Staples),Gorillaz Vince Staples,Humanz (Deluxe),2020-11-27T11:44:44Z,2020,J
In My Head,Queens of the Stone Age,Lullabies To Paralyze,2020-11-27T11:44:44Z,2020,J
Quit Playing Games (With My Heart),Backstreet Boys,Backstreet Boys,2020-11-27T11:44:44Z,2020,J
Razorblade,The Strokes,First Impressions Of Earth,2020-11-27T11:44:44Z,2020,J
Hurt,Oliver Tree,Ugly is Beautiful,2020-11-27T11:44:44Z,2020,J
Someone's In The Wolf,Queens of the Stone Age,Lullabies To Paralyze,2020-11-27T11:44:44Z,2020,J
As Long as You Love Me,Backstreet Boys,Backstreet Boys,2020-11-27T11:44:44Z,2020,J
Hard To Explain,The Strokes,Is This It,2020-11-27T11:44:44Z,2020,J
Jenny Was A Friend Of Mine,The Killers,Hot Fuss,2020-11-27T11:44:44Z,2020,J
Smooth Sailing,Queens of the Stone Age,...Like Clockwork,2020-11-27T11:44:44Z,2020,J
Life on Mars? - 2015 Remaster,David Bowie,Hunky Dory (2015 Remaster),2020-11-27T11:44:44Z,2020,J
Machu Picchu,The Strokes,Angles,2020-11-27T11:44:44Z,2020,J
Everywhere - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),2020-11-27T11:44:44Z,2020,J
Into The Hollow,Queens of the Stone Age,Era Vulgaris,2020-11-27T11:44:44Z,2020,J
Everlasting Light,The Black Keys,Brothers,2020-11-27T11:44:44Z,2020,J
The Modern Age,The Strokes,Is This It,2020-11-27T11:44:44Z,2020,J
Feels Like We Only Go Backwards,Tame Impala,Lonerism,2020-11-27T11:44:44Z,2020,J
If Only,Queens of the Stone Age,Queens of the Stone Age,2020-11-27T11:44:44Z,2020,J
Monday Morning,Fleetwood Mac,Fleetwood Mac,2020-11-27T11:44:44Z,2020,J
Automatic Stop,The Strokes,Room On Fire,2020-11-27T11:44:44Z,2020,J
Supreme,Ratatat,Magnifique,2020-11-27T11:44:44Z,2020,J
Space Oddity - 2015 Remaster,David Bowie,David Bowie (aka Space Oddity) [2015 Remaster],2020-11-27T11:44:44Z,2020,J
All These Things That I've Done,The Killers,Hot Fuss,2020-11-27T11:44:44Z,2020,J
80's Comedown Machine,The Strokes,Comedown Machine,2020-11-27T11:44:44Z,2020,J
"thank u, next",Ariana Grande,"thank u, next",2020-11-27T11:44:44Z,2020,J
The Suburbs,Arcade Fire,The Suburbs,2020-11-27T11:44:44Z,2020,J
Become The Tiger,Africa Express Mr Jukes Damon Albarn Sibot,EGOLI,2020-11-27T11:44:44Z,2020,J
Threat of Joy,The Strokes,Future Present Past,2020-11-27T11:44:44Z,2020,J
You Can't Quit Me Baby,Queens of the Stone Age,Queens of the Stone Age,2020-11-27T11:44:44Z,2020,J
Posthumous Forgiveness,Tame Impala,The Slow Rush,2020-11-27T11:44:44Z,2020,J
Welcome to the Black Parade,My Chemical Romance,The Black Parade,2020-11-27T11:44:44Z,2020,J
Goodie Bag,Still Woozy,Goodie Bag,2020-11-27T12:58:00Z,2020,Braden
Softly,Clairo,Immunity,2020-11-27T12:58:00Z,2020,Braden
Pluto Projector,Rex Orange County,Pony,2020-11-27T12:58:00Z,2020,Braden
SLOW DANCING IN THE DARK,Joji,BALLADS 1,2020-11-27T12:58:00Z,2020,Braden
Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator Rex Orange County Anna of the North",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
FACE,BROCKHAMPTON,SATURATION,2020-11-27T12:58:00Z,2020,Braden
Habit,Still Woozy,Habit,2020-11-27T12:58:00Z,2020,Braden
YEAH RIGHT,Joji,BALLADS 1,2020-11-27T12:58:00Z,2020,Braden
Astrovan,Mt. Joy,Mt. Joy,2020-11-27T12:58:00Z,2020,Braden
Ribs,Lorde,Pure Heroine,2020-11-27T12:58:00Z,2020,Braden
Peach,Kevin Abstract,ARIZONA BABY,2020-11-27T12:58:00Z,2020,Braden
Run,Joji,Nectar,2020-11-27T12:58:00Z,2020,Braden
Lava,Still Woozy,Lately EP,2020-11-27T12:58:00Z,2020,Braden
Kids,Current Joys,Kids,2020-11-27T12:58:00Z,2020,Braden
Skin,Dijon,Skin,2020-11-27T12:58:00Z,2020,Braden
Daylight,Joji Diplo,Daylight,2020-11-27T12:58:00Z,2020,Braden
Lucy,Still Woozy ODIE,Lucy,2020-11-27T12:58:00Z,2020,Braden
Foreword (feat. Rex Orange County),"Tyler, The Creator Rex Orange County",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
Sunflower,Rex Orange County,Sunflower,2020-11-27T12:58:00Z,2020,Braden
WANTED U,Joji,BALLADS 1,2020-11-27T12:58:00Z,2020,Braden
Post Humorous,Gus Dapperton,Orca,2020-11-27T12:58:00Z,2020,Braden
See You Again (feat. Kali Uchis),"Tyler, The Creator Kali Uchis",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
SUMMER,BROCKHAMPTON,SATURATION II,2020-11-27T12:58:00Z,2020,Braden
Sanctuary,Joji,Nectar,2020-11-27T12:58:00Z,2020,Braden
Me and Your Mama,Childish Gambino,"""Awaken, My Love!""",2020-11-27T12:58:00Z,2020,Braden
Where This Flower Blooms (feat. Frank Ocean),"Tyler, The Creator Frank Ocean",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
Tomorrow,Shakey Graves,Tomorrow,2020-11-27T12:58:00Z,2020,Braden
"Hey, Ma",Bon Iver,"i,i",2020-11-27T12:58:00Z,2020,Braden
Thunder,Roy Blair,Cat Heaven,2020-11-27T12:58:00Z,2020,Braden
Who Dat Boy (feat. A$AP Rocky),"Tyler, The Creator A$AP Rocky",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
I'LL SEE YOU IN 40,Joji,BALLADS 1,2020-11-27T12:58:00Z,2020,Braden
IV. Sweatpants,Childish Gambino,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
Bags,Clairo,Immunity,2020-11-27T12:58:00Z,2020,Braden
Pothole (feat. Jaden Smith),"Tyler, The Creator Jaden",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
ATTENTION,Joji,BALLADS 1,2020-11-27T12:58:00Z,2020,Braden
Every Day Is A Holiday,DOPE LEMON Winston Surfshirt,Every Day Is A Holiday,2020-11-27T12:58:00Z,2020,Braden
Come on Mess Me Up,Cub Sport,This Is Our Vice,2020-11-27T12:58:00Z,2020,Braden
November,"Tyler, The Creator",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
Sweetest Thing,U2,The Joshua Tree (Super Deluxe),2020-11-27T12:58:00Z,2020,Braden
Gimme Love,Joji,Nectar,2020-11-27T12:58:00Z,2020,Braden
"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
"Enjoy Right Now, Today","Tyler, The Creator",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
Empty,Kevin Abstract,American Boyfriend: A Suburban Love Story,2020-11-27T12:58:00Z,2020,Braden
Cooks,Still Woozy,Cooks,2020-11-27T12:58:00Z,2020,Braden
I.Crawl,Childish Gambino,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
Sometimes...,"Tyler, The Creator",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
worldstar money (interlude),Joji,In Tongues,2020-11-27T12:58:00Z,2020,Braden
Can I Call You Tonight?,Dayglow,Fuzzybrain,2020-11-27T12:58:00Z,2020,Braden
Loving Is Easy,Rex Orange County Benny Sings,Loving Is Easy,2020-11-27T12:58:00Z,2020,Braden
Glitter,"Tyler, The Creator",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
MODUS,Joji,Nectar,2020-11-27T12:58:00Z,2020,Braden
BS,Still Woozy,BS,2020-11-27T12:58:00Z,2020,Braden
Alewife,Clairo,Immunity,2020-11-27T12:58:00Z,2020,Braden
Garden Shed (feat. Estelle),"Tyler, The Creator Estelle",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
Your Man,Joji,Nectar,2020-11-27T12:58:00Z,2020,Braden
It's Not The Same Anymore,Rex Orange County,Pony,2020-11-27T12:58:00Z,2020,Braden
II. Worldstar,Childish Gambino,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
I Ain't Got Time!,"Tyler, The Creator",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
TEST DRIVE,Joji,BALLADS 1,2020-11-27T12:58:00Z,2020,Braden
A World So Full of Love,Shakey Graves,A World So Full of Love,2020-11-27T12:58:00Z,2020,Braden
I. Pink Toes,Childish Gambino Jhené Aiko,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator Frank Ocean Steve Lacy",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
Pretty Boy (feat. Lil Yachty),Joji Lil Yachty,Nectar,2020-11-27T12:58:00Z,2020,Braden
Nellie,Dr. Dog,B-Room (Deluxe Edition),2020-11-27T12:58:00Z,2020,Braden
3005,Childish Gambino,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
Droppin' Seeds (feat. Lil' Wayne),"Tyler, The Creator Lil Wayne",Flower Boy,2020-11-27T12:58:00Z,2020,Braden
Tick Tock,Joji,Nectar,2020-11-27T12:58:00Z,2020,Braden
Julia,Mt. Joy,Mt. Joy,2020-11-27T12:58:00Z,2020,Braden
I. The Party,Childish Gambino,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
Honeybee,The Head and the Heart,Living Mirage,2020-11-27T12:58:00Z,2020,Braden
"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)",Cautious Clay Remi Wolf sophie meiers Still Woozy Claud Melanie Faye HXNS,Cheesin',2020-11-27T12:58:00Z,2020,Braden
Like You Do,Joji,Nectar,2020-11-27T12:58:00Z,2020,Braden
Death By Numbers,Childish Gambino,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
Dearly Departed (feat. Esmé Patterson),Shakey Graves,And The War Came,2020-11-27T12:58:00Z,2020,Braden
Heart It Races - Cover Version,Dr. Dog,Heart It Races,2020-11-27T12:58:00Z,2020,Braden
COME THRU,Joji,BALLADS 1,2020-11-27T12:58:00Z,2020,Braden
I. Flight of the Navigator,Childish Gambino,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
Darlin',Houndmouth,Little Neon Limelight,2020-11-27T12:58:00Z,2020,Braden
Jesus Christ 2005 God Bless America,The 1975,Notes On A Conditional Form,2020-11-27T12:58:00Z,2020,Braden
CAN'T GET OVER YOU (feat. Clams Casino),Joji Clams Casino,BALLADS 1,2020-11-27T12:58:00Z,2020,Braden
II. Earth: The Oldest Computer (The Last Night),Childish Gambino Azealia Banks,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
Garden Song,Phoebe Bridgers,Garden Song,2020-11-27T12:58:00Z,2020,Braden
Motel 6,River Whyless,"Kindness, A Rebel",2020-11-27T12:58:00Z,2020,Braden
Upgrade,Joji,Nectar,2020-11-27T12:58:00Z,2020,Braden
II. Zealots of Stockholm [Free Information],Childish Gambino,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
Corduroy Dreams,Rex Orange County,Bcos U Will Never B Free,2020-11-27T12:58:00Z,2020,Braden
Politics & Violence,Dominic Fike,What Could Possibly Go Wrong,2020-11-27T12:58:00Z,2020,Braden
NO FUN,Joji,BALLADS 1,2020-11-27T12:58:00Z,2020,Braden
II. No Exit,Childish Gambino,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
Edition,Rex Orange County,Edition,2020-11-27T12:58:00Z,2020,Braden
Babydoll,Dominic Fike,"Don't Forget About Me, Demos",2020-11-27T12:58:00Z,2020,Braden
Afterthought,Joji BENEE,Nectar,2020-11-27T12:58:00Z,2020,Braden
III. Urn,Childish Gambino,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
4EVER,Clairo,4EVER,2020-11-27T12:58:00Z,2020,Braden
Açaí Bowl,Dominic Fike,Açaí Bowl,2020-11-27T12:58:00Z,2020,Braden
I Don't Wanna Waste My Time,Joji,In Tongues (Deluxe),2020-11-27T12:58:00Z,2020,Braden
Playing Around Before the Party Starts,Childish Gambino,Because the Internet,2020-11-27T12:58:00Z,2020,Braden
BLEACH,BROCKHAMPTON,SATURATION III,2020-11-27T12:58:00Z,2020,Braden
No Sleep,Caamp,By and By,2020-11-27T12:58:00Z,2020,Braden
WHY AM I STILL IN LA (feat. Shlohmo & D33J),Joji D33J Shlohmo,BALLADS 1,2020-11-27T12:58:00Z,2020,Braden
YEAH RIGHT,Joji,BALLADS 1,2020-11-27T12:37:26Z,2020,McAirth
Wishing Well,Juice WRLD,Legends Never Die,2020-11-27T12:37:26Z,2020,McAirth
Blinding Lights,The Weeknd,After Hours,2020-11-27T12:37:26Z,2020,McAirth
Hurt,Oliver Tree,Do You Feel Me?,2020-11-27T12:37:26Z,2020,McAirth
Cash Machine,Oliver Tree,Cash Machine,2020-11-27T12:37:26Z,2020,McAirth
ROXANNE,Arizona Zervas,ROXANNE,2020-11-27T12:37:26Z,2020,McAirth
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2020-11-27T12:37:26Z,2020,McAirth
Fill the Crown,Poppy,I Disagree,2020-11-27T12:37:26Z,2020,McAirth
Miracle Man,Oliver Tree,Do You Feel Me?,2020-11-27T12:37:26Z,2020,McAirth
Say So,Doja Cat,Hot Pink,2020-11-27T12:37:26Z,2020,McAirth
Come & Go (with Marshmello),Juice WRLD Marshmello,Legends Never Die,2020-11-27T12:37:26Z,2020,McAirth
Mamma Mia,Austin Weber,Mamma Mia,2020-11-27T12:37:26Z,2020,McAirth
Alien Boy,Oliver Tree,Alien Boy EP,2020-11-27T12:37:26Z,2020,McAirth
Circles,Post Malone,Hollywood's Bleeding,2020-11-27T12:37:26Z,2020,McAirth
Robbery,Juice WRLD,Death Race For Love,2020-11-27T12:37:26Z,2020,McAirth
Cha Cha,Freddie Dredd,Cha Cha,2020-11-27T12:37:26Z,2020,McAirth
Let Me Down,Oliver Tree,Let Me Down,2020-11-27T12:37:26Z,2020,McAirth
I Disagree,Poppy,I Disagree,2020-11-27T12:37:26Z,2020,McAirth
Godzilla (feat. Juice WRLD),Eminem Juice WRLD,Music To Be Murdered By,2020-11-27T12:37:26Z,2020,McAirth
In Your Eyes,The Weeknd,After Hours,2020-11-27T12:37:26Z,2020,McAirth
Bury Me Alive,Oliver Tree,Bury Me Alive,2020-11-27T12:37:26Z,2020,McAirth
Daylight,Joji Diplo,Daylight,2020-11-27T12:37:26Z,2020,McAirth
Molly (feat. Brendon Urie of Panic at the Disco),Lil Dicky Brendon Urie,Professional Rapper,2020-11-27T12:37:26Z,2020,McAirth
Love In My Pocket,Rich Brian,1999,2020-11-27T12:37:26Z,2020,McAirth
Do You Feel Me?,Oliver Tree Whethan,Do You Feel Me?,2020-11-27T12:37:26Z,2020,McAirth
Team,Lorde,Pure Heroine,2020-11-27T12:37:26Z,2020,McAirth
ZEZE (feat. Travis Scott & Offset),Kodak Black Offset Travis Scott,Dying to Live,2020-11-27T12:37:26Z,2020,McAirth
Electric Love,BØRNS,Dopamine,2020-11-27T12:37:26Z,2020,McAirth
Nothing I Need,Poppy,I Disagree,2020-11-27T12:37:26Z,2020,McAirth
EARFQUAKE,"Tyler, The Creator",IGOR,2020-11-27T12:37:26Z,2020,McAirth
Ugly Boy,Die Antwoord,Donker Mag,2020-11-27T12:37:26Z,2020,McAirth
The Man,Taylor Swift,Lover,2020-11-27T12:37:26Z,2020,McAirth
All That,Oliver Tree,Alien Boy EP,2020-11-27T12:37:26Z,2020,McAirth
Wait a Minute!,WILLOW,ARDIPITHECUS,2020-11-27T12:37:26Z,2020,McAirth
BLOODMONEY,Poppy,I Disagree,2020-11-27T12:37:26Z,2020,McAirth
IGOR'S THEME,"Tyler, The Creator",IGOR,2020-11-27T12:37:26Z,2020,McAirth
"Me, Myself & I",Oliver Tree,Ugly is Beautiful,2020-11-27T12:37:26Z,2020,McAirth
SLOW DANCING IN THE DARK,Joji,BALLADS 1,2020-11-27T12:37:26Z,2020,McAirth
Sunflower,Rex Orange County,Sunflower,2020-11-27T12:37:26Z,2020,McAirth
I THINK,"Tyler, The Creator",IGOR,2020-11-27T12:37:26Z,2020,McAirth
Tidal Wave,Portugal. The Man,Woodstock,2020-11-27T12:37:26Z,2020,McAirth
White Iverson,Post Malone,Stoney (Deluxe),2020-11-27T12:37:26Z,2020,McAirth
Antidote,Travis Scott,Rodeo (Expanded Edition),2020-11-27T12:37:26Z,2020,McAirth
Ways to Go,Grouplove,Spreading Rumours,2020-11-27T12:37:26Z,2020,McAirth
Movement,Oliver Tree,Movement,2020-11-27T12:37:26Z,2020,McAirth
Afterthought,Joji BENEE,Nectar,2020-11-27T12:37:26Z,2020,McAirth
Concrete,Poppy,I Disagree,2020-11-27T12:37:26Z,2020,McAirth
Opaul,Freddie Dredd,Opaul,2020-11-27T12:37:26Z,2020,McAirth
Nights,Frank Ocean,Blonde,2020-11-27T12:37:26Z,2020,McAirth
Sanctuary,Joji,Sanctuary,2020-11-27T12:37:26Z,2020,McAirth
Without Me,Eminem,The Eminem Show,2020-11-27T12:37:26Z,2020,McAirth
Buttercup,Jack Stauber,Pop Food,2020-11-27T12:37:26Z,2020,McAirth
Pumpidup,Lorenzo Oliver Tree,Sex In The City,2020-11-27T12:37:26Z,2020,McAirth
Run,Joji,Run,2020-11-27T12:37:26Z,2020,McAirth
Panini,Lil Nas X,Panini,2020-11-27T12:37:26Z,2020,McAirth
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift Brendon Urie Panic! At The Disco,Lover,2020-11-27T12:37:26Z,2020,McAirth
All Girls Are The Same,Juice WRLD,Goodbye & Good Riddance,2020-11-27T12:37:26Z,2020,McAirth
Midsummer Madness,88rising Joji Rich Brian Higher Brothers AUGUST 08,Head In The Clouds,2020-11-27T12:37:26Z,2020,McAirth
On Melancholy Hill,Gorillaz,Plastic Beach,2020-11-27T12:37:26Z,2020,McAirth
Symphonies - Bonus Track,Dan Black,UN (Special USA Edition),2020-11-27T12:37:26Z,2020,McAirth
Contrails (feat. Tegan Quin),Astronautalis Tegan Quin,This Is Our Science,2020-11-27T12:37:26Z,2020,McAirth
ATTENTION,Joji,BALLADS 1,2020-11-27T12:37:26Z,2020,McAirth
Sit / Stay,Poppy,I Disagree,2020-11-27T12:37:26Z,2020,McAirth
Modern Jesus,Portugal. The Man,Evil Friends,2020-11-27T12:37:26Z,2020,McAirth
1993 (feat. Little Ricky ZR3),Oliver Tree Little Ricky ZR3,Ugly is Beautiful,2020-11-27T12:37:26Z,2020,McAirth
Where Is My Mind?,Pixies,Surfer Rosa (Remastered),2020-11-27T12:37:26Z,2020,McAirth
Ribs,Lorde,Pure Heroine,2020-11-27T12:37:26Z,2020,McAirth
Bangarang (feat. Sirah),Skrillex Sirah,Bangarang EP,2020-11-27T12:37:26Z,2020,McAirth
When I'm Down,Whethan Oliver Tree,When I'm Down,2020-11-27T12:37:26Z,2020,McAirth
NEW MAGIC WAND,"Tyler, The Creator",IGOR,2020-11-27T12:37:26Z,2020,McAirth
Buzzcut Season,Lorde,Pure Heroine,2020-11-27T12:37:26Z,2020,McAirth
Time to Pretend,MGMT,Oracular Spectacular,2020-11-27T12:37:26Z,2020,McAirth
Introspective,Oliver Tree,Do You Feel Me?,2020-11-27T12:37:26Z,2020,McAirth
RUNNING OUT OF TIME,"Tyler, The Creator",IGOR,2020-11-27T12:37:26Z,2020,McAirth
Walking On A Dream,Empire of the Sun,Walking On A Dream,2020-11-27T12:37:26Z,2020,McAirth
Budapest,George Ezra,Wanted on Voyage (Expanded Edition),2020-11-27T12:37:26Z,2020,McAirth
You Need To Calm Down,Taylor Swift,Lover,2020-11-27T12:37:26Z,2020,McAirth
A BOY IS A GUN*,"Tyler, The Creator",IGOR,2020-11-27T12:37:26Z,2020,McAirth
Glory And Gore,Lorde,Pure Heroine,2020-11-27T12:37:26Z,2020,McAirth
Man On The Moon,Kid Cudi,Man On The Moon: The End Of Day (Deluxe),2020-11-27T12:37:26Z,2020,McAirth
Die Very Rough,Mario Judah,Die Very Rough,2020-11-27T12:37:26Z,2020,McAirth
MOOO!,Doja Cat,Amala (Deluxe Version),2020-11-27T12:37:26Z,2020,McAirth
Mine,Bazzi,COSMIC,2020-11-27T12:37:26Z,2020,McAirth
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,"good kid, m.A.A.d city",2020-11-27T12:37:26Z,2020,McAirth
Dilly,Band of Horses,Infinite Arms,2020-11-27T12:37:26Z,2020,McAirth
Crush,Tessa Violet,Bad Ideas,2020-11-27T12:37:26Z,2020,McAirth
My Friends Never Die,ODESZA,My Friends Never Die,2020-11-27T12:37:26Z,2020,McAirth
Daisy,Ashnikko,Daisy,2020-11-27T12:37:26Z,2020,McAirth
Rythym of The Night,Ritmo Fuerte,Rythym of The Night,2020-11-27T12:37:26Z,2020,McAirth
All Bets Are Off,Oliver Tree,Do You Feel Me?,2020-11-27T12:37:26Z,2020,McAirth
Earth,Lil Dicky,Earth,2020-11-27T12:37:26Z,2020,McAirth
Anything Like Me,Poppy,I Disagree,2020-11-27T12:37:26Z,2020,McAirth
